FLOOR 0,-1,0
PAINT_WALL -80,-1,70 270
PAINT_WALL -80,-1,60 270
PAINT_WALL -80,-1,50 270
PAINT_WALL -80,-1,40 270
PAINT_WALL -80,-1,30 270
PAINT_WALL -80,-1,-80 270
PAINT_WALL -80,-1,-70 270
PAINT_WALL -80,-1,-60 270
PAINT_WALL -80,-1,-50 270
PAINT_WALL -80,-1,-40 270
PAINT_WALL -80,-1,-30 270
PAINT_WALL -88,-1,80 90
PAINT_WALL -88,-1,70 90
PAINT_WALL -88,-1,60 90
PAINT_WALL -88,-1,50 90
PAINT_WALL -88,-1,40 90
PAINT_WALL -88,-1,30 90
PAINT_WALL -88,-1,-80 90
PAINT_WALL -88,-1,-70 90
PAINT_WALL -88,-1,-60 90
PAINT_WALL -88,-1,-50 90
PAINT_WALL -88,-1,-40 90
PAINT_WALL -88,-1,-30 90
WALL_HAMMER -94,-1,75 270
WALL_HAMMER -94,-1,35 270
WALL_HAMMER -94,-1,-75 270
WALL_HAMMER -94,-1,-35 270
PAINT_WALL -80,-1,-80 180
PAINT_WALL -70,-1,-80 180
PAINT_WALL -60,-1,-80 180
PAINT_WALL -50,-1,-80 180
PAINT_WALL -40,-1,-80 180
PAINT_WALL -30,-1,-80 180
PAINT_WALL 80,-1,-80 180
PAINT_WALL 70,-1,-80 180
PAINT_WALL 60,-1,-80 180
PAINT_WALL 50,-1,-80 180
PAINT_WALL 40,-1,-80 180
PAINT_WALL 30,-1,-80 180
PAINT_WALL -80,-1,-88 0
PAINT_WALL -70,-1,-88 0
PAINT_WALL -60,-1,-88 0
PAINT_WALL -50,-1,-88 0
PAINT_WALL -40,-1,-88 0
PAINT_WALL -30,-1,-88 0
PAINT_WALL 80,-1,-88 0
PAINT_WALL 70,-1,-88 0
PAINT_WALL 60,-1,-88 0
PAINT_WALL 50,-1,-88 0
PAINT_WALL 40,-1,-88 0
PAINT_WALL 30,-1,-88 0
WALL_HAMMER 75,-1,-94 180
WALL_HAMMER 35,-1,-94 180
WALL_HAMMER -75,-1,-94 180
WALL_HAMMER -35,-1,-94 180
PAINT_WALL 80,-1,80 90
PAINT_WALL 80,-1,70 90
PAINT_WALL 80,-1,60 90
PAINT_WALL 80,-1,50 90
PAINT_WALL 80,-1,40 90
PAINT_WALL 80,-1,30 90
PAINT_WALL 80,-1,-80 90
PAINT_WALL 80,-1,-70 90
PAINT_WALL 80,-1,-60 90
PAINT_WALL 80,-1,-50 90
PAINT_WALL 80,-1,-40 90
PAINT_WALL 80,-1,-30 90
PAINT_WALL 88,-1,80 270
PAINT_WALL 88,-1,70 270
PAINT_WALL 88,-1,60 270
PAINT_WALL 88,-1,50 270
PAINT_WALL 88,-1,40 270
PAINT_WALL 88,-1,30 270
PAINT_WALL 88,-1,-80 270
PAINT_WALL 88,-1,-70 270
PAINT_WALL 88,-1,-60 270
PAINT_WALL 88,-1,-50 270
PAINT_WALL 88,-1,-40 270
PAINT_WALL 88,-1,-30 270
WALL_HAMMER 94,-1,75 90
WALL_HAMMER 94,-1,35 90
WALL_HAMMER 94,-1,-75 90
WALL_HAMMER 94,-1,-35 90

//6 boxes//
PAINT_WALL 122,-1,0 270
PAINT_WALL 120,-1,2 180
PAINT_WALL 118,-1,0 90
PAINT_WALL 120,-1,-2 0

PAINT_WALL 122,-1,60 270
PAINT_WALL 120,-1,62 180
PAINT_WALL 118,-1,60 90
PAINT_WALL 120,-1,58 0

PAINT_WALL 122,-1,-60 270
PAINT_WALL 120,-1,-58 180
PAINT_WALL 118,-1,-60 90
PAINT_WALL 120,-1,-62 0

PAINT_WALL -118,-1,0 270
PAINT_WALL -120,-1,2 180
PAINT_WALL -122,-1,0 90
PAINT_WALL -120,-1,-2 0

PAINT_WALL -118,-1,60 270
PAINT_WALL -120,-1,62 180
PAINT_WALL -122,-1,60 90
PAINT_WALL -120,-1,58 0

PAINT_WALL -118,-1,-60 270
PAINT_WALL -120,-1,-58 180
PAINT_WALL -122,-1,-60 90
PAINT_WALL -120,-1,-62 0

//Barriers on the middle//
PAINT_WALL 10,-1,2 180
PAINT_WALL 0,-1,2 180
PAINT_WALL -10,-1,2 180
PAINT_WALL 10,-1,-2 0
PAINT_WALL 0,-1,-2 0
PAINT_WALL -10,-1,-2 0
PAINT_WALL 8,-1,0 90
PAINT_WALL -8,-1,0 270
THRONE 10,-1,10 0 2,2,2
THRONE -10,-1,10 0 2,2,2
THRONE 10,-1,-10 180 2,2,2
THRONE -10,-1,-10 180 2,2,2
WALL_HAMMER 0,-1,12 0
WALL_HAMMER 0,-1,-12 180

//Powerups//
POWERUP 0,5,10 1
POWERUP 0,5,-10 1

POWERUP 30,5,30 0
POWERUP 30,5,-30 0
POWERUP -30,5,30 0
POWERUP -30,5,-30 0

POWERUP 60,5,60 2
POWERUP 60,5,-60 2
POWERUP -60,5,60 2
POWERUP -60,5,-60 2

POWERUP 120,5,10 3
POWERUP 120,5,-10 3
POWERUP -120,5,10 3
POWERUP -120,5,-10 3

SPAWNPOINT 50,5,140
SPAWNPOINT -50,5,140
SPAWNPOINT 50,5,-140
SPAWNPOINT -50,5,-140


